"responseid	respid	d3	d5	d6a	dagechildfinal	d7	d8	ITEM_01	ITEM_02	ITEM_03	ITEM_04	ITEM_05	ITEM_06	ITEM_07	ITEM_08	ITEM_09	ITEM_10	ITEM_11	ITEM_12	ITEM_13	ITEM_14	ITEM_15	ITEM_16	ITEM_17	ITEM_18	ITEM_19	ITEM_20	ITEM_21	ITEM_22	ITEM_23	ITEM_24	ITEM_25	a2	a3_1	a3_2	a3_3	a3dk	a4_1	a5_1	a6_1	a4_2	a5_2	a6_2	a4_3	a5_3	a6_3	a7	a10_1	a10_2	a10_3	a10_4	a10_5	a10_6	a10_7	a10_8	a10_9	a10_10	a10_11	a10_12	dob	gender	age	ageband	natrepage	gor	child_gender	c_age	white	ITEM_07r	ITEM_21r	ITEM_25r	ITEM_11r	ITEM_14r	rc_game_01_name	rc_game01_edition	pegi_one_violence	rc_game01_confidence	rc_game_01_rating_ESRB	rc_game_01_esrb_Alcohol	rc_game_01_esrb_Animated_Blood	rc_game_01_esrb_Blood	rc_game_01_esrb_Blood_and_Gore	rc_game_01_esrb_Cartoon_Violence	rc_game_01_esrb_Comic_Mischief	rc_game_01_esrb_Crude_Humor	rc_game_01_esrb_Drug_Reference	rc_game_01_esrb_Fantasy_Violence	rc_game_01_esrb_Intense_Violence	rc_game_01_esrb_Language	rc_game_01_esrb_Lyrics	rc_game_01_esrb_Mature_Humor	rc_game_01_esrb_Nudity	rc_game_01_esrb_Partial_Nudity	rc_game_01_esrb_Real_Gambling	rc_game_01_esrb_Sexual_Content	rc_game_01_esrb_Sexual_Themes	rc_game_01_esrb_Sexual_Violence	rc_game_01_esrb_Simulated_Gambling	rc_game_01_esrb_Strong_Language	rc_game_01_esrb_Strong_Lyrics	rc_game_01_esrb_Strong_Sexual_Content	rc_game_01_esrb_Suggestive_Themes	rc_game_01_esrb_Tobacco_Reference	rc_game_01_esrb_Use_of_Alcohol	rc_game_01_esrb_Use_of_Drugs	rc_game_01_esrb_Use_of_Tobacco	rc_game_01_esrb_Violence	rc_game_01_esrb_Violent_References	rc_a2	rc_a3dk	rc_game_01_rating_PEGI	rc_game_01_violence_PEGI	rc_game_01_language_PEGI	rc_game_01_fear_PEGI	rc_game_01_gambling_PEGI	rc_game_01_sex_PEGI	rc_game_01_drugs_PEGI	rc_game_01_discrimination_PEGI	rc_game_01_how	rc_game_01_multi	rc_game_01_time	rc_game_02_name	rc_game_02_edition	rc_game02_confidence	rc_game_02_rating_ESRB	rc_game_02_esrb_Alcohol	rc_game_02_esrb_Animated_Blood	rc_game_02_esrb_Blood	rc_game_02_esrb_Blood_and_Gore	rc_game_02_esrb_Cartoon_Violence	rc_game_02_esrb_Comic_Mischief	rc_game_02_esrb_Crude_Humor	rc_game_02_esrb_Drug_Reference	rc_game_02_esrb_Fantasy_Violence	rc_game_02_esrb_Intense_Violence	rc_game_02_esrb_Language	rc_game_02_esrb_Lyrics	rc_game_02_esrb_Mature_Humor	rc_game_02_esrb_Nudity	rc_game_02_esrb_Partial_Nudity	rc_game_02_esrb_Real_Gambling	rc_game_02_esrb_Sexual_Content	rc_game_02_esrb_Sexual_Themes	rc_game_02_esrb_Sexual_Violence	rc_game_02_esrb_Simulated_Gambling	rc_game_02_esrb_Strong_Language	rc_game_02_esrb_Strong_Lyrics	rc_game_02_esrb_Strong_Sexual_Content	rc_game_02_esrb_Suggestive_Themes	rc_game_02_esrb_Tobacco_Reference	rc_game_02_esrb_Use_of_Alcohol	rc_game_02_esrb_Use_of_Drugs	rc_game_02_esrb_Use_of_Tobacco	rc_game_02_esrb_Violence	rc_game_02_esrb_Violent_References	rc_game_02_rating_PEGI	rc_game_02_violence_PEGI	rc_game_02_language_PEGI	rc_game_02_fear_PEGI	rc_game_02_gambling_PEGI	rc_game_02_sex_PEGI	rc_game_02_drugs_PEGI	rc_game_02_discrimination_PEGI	rc_game_02_how	rc_game_02_multi	rc_game_02_time	rc_game_03_name_PEGI	rc_game_03_edition	rc_game_03_confidence	rc_game_03_rating_ESRB	rc_game_03_esrb_Alcohol	rc_game_03_esrb_Animated_Blood	rc_game_03_esrb_Blood	rc_game_03_esrb_Blood_and_Gore	rc_game_03_esrb_Cartoon_Violence	rc_game_03_esrb_Comic_Mischief	rc_game_03_esrb_Crude_Humor	rc_game_03_esrb_Drug_Reference	rc_game_03_esrb_Fantasy_Violence	rc_game_03_esrb_Intense_Violence	rc_game_03_esrb_Language	rc_game_03_esrb_Lyrics	rc_game_03_esrb_Mature_Humor	rc_game_03_esrb_Nudity	rc_game_03_esrb_Partial_Nudity	rc_game_03_esrb_Real_Gambling	rc_game_03_esrb_Sexual_Content	rc_game_03_esrb_Sexual_Themes	rc_game_03_esrb_Sexual_Violence	rc_game_03_esrb_Simulated_Gambling	rc_game_03_esrb_Strong_Language	rc_game_03_esrb_Strong_Lyrics	rc_game_03_esrb_Strong_Sexual_Content	rc_game_03_esrb_Suggestive_Themes	rc_game_03_esrb_Tobacco_Reference	rc_game_03_esrb_Use_of_Alcohol	rc_game_03_esrb_Use_of_Drugs	rc_game_03_esrb_Use_of_Tobacco	rc_game_03_esrb_Violence	rc_game_03_esrb_Violent_References	rc_game_03_rating_PEGI	rc_game_03_violence_PEGI	rc_game_03_language_PEGI	rc_game_03_fear_PEGI	rc_game_03_gambling_PEGI	rc_game_03_sex_PEGI	rc_game_03_drugs_PEGI	rc_game_03_discrimination_PEGI	rc_game_03_how_PEGI	rc_game_03_multi_PEGI	rc_game_03_time_PEGI	game_one_violent_time	pegi_present_one	pegi_present_two	pegi_present_3	pegi_two_violence	agg_01	agg_02	agg_03	agg_04	agg_05	agg_06	agg_07	agg_08	agg_09	agg_10	agg_11	agg_12	trait_physical	trait_verbal	trait_anger	trait_hostility	child_age	game_two_violent_time	pegi_three_violence	game_three_violent_time	game_violent_time	check	gaming_time	game_violent_time_square	pegi_one_sensitivity	pegi_two_sensitivity	pegi_three_sensitivity	game_one_sensitive_time	game_two_sensitive_time	game_three_sensitive_time	game_sensitive_time	game_sensitive_time_squared	violent_game_player	esrb_01_violence	esrb_present	esrb_present_01	esrb_present_02	esrb_02_violence	esrb_present_03	esrb_03_violence	game_one_time	game_two_time	game_three_time	game_01_violent_time_esrb	game_02_violent_time_esrb	game_03_violent_time_esrb	violent_game_time_esrb	game_violent_time_square_esrb	female	conduct_problems	prosocial	ZRE_1	violent_game_time_semi_partial"
"29	29	Between ?44,500 and ?54,499	White British	2	15	Guardian/main caregiver	Male	Somewhat true	Not true	Not true	Somewhat true	Not true	Somewhat true	Somewhat true	Not true	Certainly true	Somewhat true	Somewhat true	Not true	Not true	Somewhat true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Somewhat true	Not true	Not true	Certainly true	Not true	Not true	Yes	Warhammer	Fifa 15	world of warcraft	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About half an hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, offline only	About half an hour a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online only	About half an hour a day	Neither agree or disagree	Neither like or unlike me	Unlike me	Unlike me	Like me	Neither like or unlike me	Very unlike me	Neither like or unlike me	Unlike me	Very unlike me	Very unlike me	Unlike me	Unlike me	2/18/1971	Male	47	41-55	45 to 54	West Midlands	0	15	1	2	3	3	2	2	Total War: Warhammer	Total War: Warhammer	1	Rating avaliable for ESRB and PEGI	Teen	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	Yes	Not selected	PEGI 16	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About half an hour a day	FIFA	FIFA 2015	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, offline only	About half an hour a day	World of Warcraft	 	Rating avaliable for ESRB and PEGI	Teen	 	 	 	Does contain this content	 	 	Does contain this content	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	Does contain this content	 	 	Does contain this content	 	PEGI 12	Does contain this content	Does contain this content	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online only	About half an hour a day	0,5	1	1	1	0	3	2	2	4	3	1	3	2	1	1	2	2	3	2,333333333	1	2,333333333	15	0	1	0,5	1	3	1,5	1	2	0	1	1	0	0,5	1,5	2,25	1	1	1	1	1	0	1	1	0,5	0,5	0,5	0,5	0	0,5	1	1	0	6	12	-0,562886293	-0,562886293"
"44	44	Between ?17,500 and ?24,499	White British	3	14	Mother	Male	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Not true	Not true	Not true	Certainly true	Certainly true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Not true	Somewhat true	Somewhat true	Not true	Not true	Not true	Somewhat true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Unlike me	Like me	Unlike me	Unlike me	Very unlike me	Very like me	Unlike me	Very unlike me	Very unlike me	Neither like or unlike me	Like me	Very unlike me	1/31/1984	Female	34	25-40	25 to 34	South East	0	14	1	3	2	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	2	4	2	2	1	5	2	1	1	3	4	1	1,666666667	2	3	2,666666667	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	7	13	 	 "
"45	45	Between ?17,500 and ?24,499	White British	3	15	Mother	Male	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Somewhat true	Certainly true	Not true	Certainly true	Not true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Very unlike me	Very like me	Like me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very like me	Very unlike me	03.08.1985	Female	32	25-40	25 to 34	South East	0	15	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	5	4	1	1	1	1	1	1	1	5	1	1	2,333333333	1	3,333333333	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	13	13	 	 "
"53	53	Between ?34,500 and ?44,499	White British	1	15	Mother	Male	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Certainly true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Not true	Not true	Certainly true	Yes	fifa	 	 	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	 	 	 	 	 	 	Neither agree or disagree	Unlike me	Unlike me	Very unlike me	Unlike me	Unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Very unlike me	Unlike me	Very unlike me	Unlike me	2/19/1987	Female	31	25-40	25 to 34	East of England	0	15	1	1	2	1	1	1	FIFA	FIFA (Unspecified)	0	Rating avaliable for ESRB and PEGI	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	 	2	2	1	2	2	3	1	1	1	2	1	2	1,666666667	2	2	1	15	 	 	 	0	3	1	0	0	 	 	0	 	 	0	0	0	0	1	1	0	 	0	 	1	 	 	0	 	 	0	0	0	6	15	-1,076756371	-1,076756371"
"57	57	Between ?24,500 and ?34,499	White British	2	15	Other	Male	Certainly true	Not true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Not true	Not true	Certainly true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Very unlike me	Unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Very unlike me	Unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Unlike me	11/15/1951	Female	66	56-70	65 plus	East of England	0	15	1	1	3	1	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	2	3	1	1	1	2	1	1	1	1	2	1	1,666666667	1	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	5	15	 	 "
"58	58	Between ?90,000 and ?99,999	White British	3	15	Mother	Male	Certainly true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Yes	Assassin's Creed II	Clash of Clans.	The Walking Dead ? No Man's Land	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 1 hour a day	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 2 hours a day	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 3 hours a day	Strongly agree	Unlike me	Neither like or unlike me	Neither like or unlike me	Very unlike me	Like me	Neither like or unlike me	Neither like or unlike me	Very unlike me	Like me	Neither like or unlike me	Neither like or unlike me	Unlike me	12.09.1981	Female	36	25-40	35 to 44	South East	0	15	1	2	2	2	1	1	Assassin's Creed	Assassin's Creed II	1	Rating avaliable for ESRB and PEGI	Teen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 1 hour a day	Clash of Clans	 	Missing rating or App without rating	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 7	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 2 hours a day	The Walking Dead	The Walking Dead: No Man's Land	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 3 hours a day	1	1	1	1	0	2	3	3	1	4	3	3	1	4	3	3	2	1,333333333	3	3,333333333	3	15	0	1	3	4	5	6	16	3	0	3	9	0	9	18	324	1	0	1	1	1	0	1	1	1	2	3	0	0	3	3	9	0	7	11	0,755306249	0,755306249"
"59	59	Between ?54,500 and ?64,499	White British	2	14	Mother	Male	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Certainly true	Not true	Somewhat true	Somewhat true	Certainly true	Not true	Somewhat true	Somewhat true	Certainly true	Yes	Overwatch	Terraria	Star wars battlefront 2	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	Agree	Very unlike me	Very unlike me	Unlike me	Very unlike me	Very unlike me	Very unlike me	Like me	Very unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Unlike me	04.11.1970	Female	47	41-55	45 to 54	North West	0	14	1	1	1	1	2	2	Overwatch	 	1	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 12	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Terraria	 	Rating avaliable for ESRB and PEGI	Everyone 10+	Does contain this content	 	 	Does contain this content	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	PEGI 12	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 2 hours a day	Star Wars: Battlefront	Star Wars: Battlefront 2	Rating avaliable for ESRB and PEGI	Teen	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	2	1	1	1	1	1	1	2	1	1	1	4	1	3	1	1	2	1	1,333333333	1,666666667	2,333333333	14	2	1	2	6	4	6	36	1	1	2	2	2	4	8	64	1	0	1	1	1	1	1	1	2	2	2	0	2	2	4	16	0	5	13	1,730670704	1,730670704"
"63	63	Between ?64,500 and ?74,499	Other White	2	14	Father	Male	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Certainly true	Certainly true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Certainly true	Certainly true	Yes	boom beach	 	 	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About half an hour a day	 	 	 	 	 	 	Agree	Neither like or unlike me	Like me	Neither like or unlike me	Like me	Like me	Like me	Neither like or unlike me	Like me	Like me	Like me	Neither like or unlike me	Like me	08.05.1976	Male	41	41-55	35 to 44	London	0	14	1	1	2	1	2	2	Boom Beach	 	0	Missing rating or App without rating	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About half an hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	 	3	4	3	4	4	4	3	4	4	4	3	4	3,666666667	4	4	3	14	 	 	 	0	4	0,5	0	0	 	 	0	 	 	0	0	0	0	1	1	0	 	0	 	0,5	 	 	0	 	 	0	0	0	11	12	-1,244341982	-1,244341982"
"68	68	Between ?54,500 and ?64,499	Other White	1	15	Mother	Male	Not true	Somewhat true	Somewhat true	Certainly true	Not true	Not true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	Certainly true	Not true	Not true	Not true	Somewhat true	Not true	Not true	Not true	Certainly true	Somewhat true	Not true	Not true	Not true	Somewhat true	Yes	gta v	 	 	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	 	 	 	 	 	 	Agree	Like me	Neither like or unlike me	Neither like or unlike me	Like me	Like me	Neither like or unlike me	Like me	Neither like or unlike me	Neither like or unlike me	Like me	Neither like or unlike me	Like me	4/18/1979	Female	38	25-40	35 to 44	London	0	15	1	2	2	2	2	3	Grand Theft Auto	Grand Theft Auto V	1	Rating avaliable for ESRB and PEGI	Mature	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	 	4	3	3	4	4	3	4	3	3	4	3	4	3,666666667	3,666666667	3,333333333	3,333333333	15	 	 	 	1	4	1	1	3	 	 	 	 	 	 	 	1	0	1	1	0	 	0	 	1	 	 	0	 	 	0	0	0	8	10	-0,728796002	-0,728796002"
"92	92	Between ?17,500 and ?24,499	White British	3	15	Mother	Male	Certainly true	Certainly true	Somewhat true	Certainly true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Certainly true	Not true	Not true	Somewhat true	Somewhat true	Not true	Certainly true	Somewhat true	Somewhat true	Yes	Far Cry Primal	Kingdom Come: Deliverance	UFC 2	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About half an hour a day	Agree	Like me	Like me	Like me	Like me	Like me	Neither like or unlike me	Very like me	Unlike me	Neither like or unlike me	Unlike me	Like me	Neither like or unlike me	02.06.1983	Female	35	25-40	35 to 44	East of England	0	15	1	2	2	2	2	1	Far Cry	Far Cry Primal	1	Rating avaliable for ESRB and PEGI	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 2 hours a day	Kingdom Come: Deliverance	 	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	 	 	 	Does contain this content	 	 	 	 	 	 	Does contain this content	 	Does contain this content	 	 	Does contain this content	 	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 2 hours a day	EA Sports UFC	EA Sports UFC 2	Rating avaliable for ESRB and PEGI	Teen	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	Does contain this content	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About half an hour a day	2	1	1	1	1	4	4	4	4	4	3	5	2	3	2	4	3	3,333333333	3,666666667	2,666666667	4,333333333	15	2	1	0,5	4,5	4	4,5	20,25	3	3	2	1,5	1,5	1	4	16	1	0	1	1	1	1	1	1	2	2	0,5	0	2	0,5	2,5	6,25	0	8	14	0,969108441	0,969108441"
"94	94	Between ?90,000 and ?99,999	White British	2	15	Father	Male	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Certainly true	Yes	 	 	 	Don't know	 	 	 	 	 	 	 	 	 	Strongly agree	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	03.07.1982	Male	36	25-40	35 to 44	London	0	15	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Don't know	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	12	14	 	 "
